Brand,Name,Price,Image,Link
Infinix,"Infinix Hot 20S -6.78""- 8Go -128Go - Noir - Garantie 1an",685.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/2007/1.jpg?2275,https://www.jumia.com.tn/smartphones//infinix-hot-20s-6.78-8go-128go-noir-garantie-1an-700228.html
XIAOMI,"XIAOMI Redmi 12C - 6.71"" - 3Go - 128 Go - Grey - Garantie 1 an",499.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/0827/1.jpg?4854,https://www.jumia.com.tn/smartphones//xiaomi-redmi-12c-6.71-3go-128-go-grey-garantie-1-an-728092.html
Smart,"Smart M30 - 6.3""- 2Go-32Go - Bleu Foncé - Garantie 1 an",278.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/8427/1.jpg?6969,https://www.jumia.com.tn/smartphones//smart-m30-6.3-2go-32go-bleu-fonce-garantie-1-an-724828.html
Infinix,"Infinix HOT 20 - 6,82"" -50MP - 90Hz - 11gb Ram -128GB + Anticasse et Pochette - Bleu - Garantie 1An",666.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/3307/1.jpg?5808,https://www.jumia.com.tn/smartphones//infinix-hot-20-682-50mp-90hz-11gb-ram-128gb-anticasse-et-pochette-bleu-garantie-1an-703393.html
Infinix,"Infinix Smart 7 - 6.62"" - 4 Go - 64 Go - Noir - Garantie 1 an",399.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/2717/1.jpg?5129,https://www.jumia.com.tn/smartphones//infinix-smart-7-6.62-4-go-64-go-noir-garantie-1-an-717244.html
XIAOMI,XIAOMI Redmi Note 11S - 8Go - 128Go - 108MP - Gris - Garantie 1 an,1049.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/5446/1.jpg?7848,https://www.jumia.com.tn/smartphones//xiaomi-redmi-note-11s-8go-128go-108mp-gris-garantie-1-an-644530.html
Infinix,"Infinix Hot 20i - 6,6"" HD+ IPS - 4GO - 128GO  + Anticasse - Luna Blue - Garantie 1 an",479.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/3307/1.jpg?3165,https://www.jumia.com.tn/smartphones//infinix-hot-20i-66-hd-ips-4go-128go-anticasse-luna-blue-garantie-1-an-703310.html
Iku,"Iku A4 - 5.5"" - 1Go - 16Go - Blue - Garantie 1 an",199.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/1096/1.jpg?7267,https://www.jumia.com.tn/smartphones//iku-a4-5.5-1go-16go-blue-garantie-1-an-690111.html
Infinix,"Infinix Smart 6 HD - 6.6"" - 2 Go - 32 Go et Pochette + Anticasse - Akua sky - Garantie 1 an",359.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/6956/1.jpg?2445,https://www.jumia.com.tn/smartphones//smart-6-hd-6.6-2-go-32-go-et-pochette-anticasse-akua-sky-garantie-1-an-infinix-mpg33906.html
XIAOMI,"XIAOMI Redmi 10C - 6.71""- 4Go - 64Go - Bleu - Garantie 1 an",575.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/9876/1.jpg?9216,https://www.jumia.com.tn/smartphones//xiaomi-redmi-10c-6.71-4go-64go-bleu-garantie-1-an-678920.html
Infinix,"Infinix SMART 6 HD - 6.6"" - 4G/DS - 2/32 GB - X6512 - AQUA SKY",369.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/0617/1.jpg?9966,https://www.jumia.com.tn/smartphones//infinix-smart-6-hd-6.6-4gds-232-gb-x6512-aqua-sky-716097.html
Infinix,"Infinix SMART 6 HD - 6.6"" - 4G/DS - 2/32 GB - X6512 - ORIGIN Blue",369.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/0617/1.jpg?9966,https://www.jumia.com.tn/smartphones//infinix-smart-6-hd-6.6-4gds-232-gb-x6512-origin-blue-716096.html
Infinix,"Infinix Hot 20i - 6,6"" HD+ IPS - 4GO - 128GO  + Anticasse - Vert - Garantie 1 an",479.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/8427/1.jpg?5074,https://www.jumia.com.tn/smartphones//infinix-hot-20i-66-hd-ips-4go-128go-anticasse-vert-garantie-1-an-724812.html
Smart,"Smart E1 - 6.1"" - 2Go - 16Go - Vert  - Garantie 1 an",239.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/9766/1.jpg?2990,https://www.jumia.com.tn/smartphones//smart-e1-6.1-2go-16go-vert-garantie-1-an-667905.html
Infinix,"Infinix Hot 20S - 6.78"" - 120Hz - 50Mp- 13Go Ram -128 Go et Pochette+ Anticasse- Bleu -Garantie 1An",699.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/3307/1.jpg?2206,https://www.jumia.com.tn/smartphones//infinix-hot-20s-6.78-120hz-50mp-13go-ram-128-go-et-pochette-anticasse-bleu-garantie-1an-703312.html
Infinix,"Infinix Hot 20i - 6,6"" HD+ IPS - 4GO - 128GO  Sunset Gold + Anticasse Gratuite - Garantie 1 an",465.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/3307/1.jpg?0070,https://www.jumia.com.tn/smartphones//infinix-hot-20i-66-hd-ips-4go-128go-sunset-gold-anticasse-gratuite-garantie-1-an-703311.html
Infinix,"Infinix Smart 7 - 6,6"" - 4GB (Up to 7GB) - 64 GB - Iceland White - Garantie 1 an",419.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/1617/1.jpg?8848,https://www.jumia.com.tn/smartphones//infinix-smart-7-66-4gb-up-to-7gb-64-gb-iceland-white-garantie-1-an-716186.html
Infinix,"Infinix Smart 7 - 6,6"" - 4GB (Up to 7GB) - 64 GB - Peacock Blue - Garantie 1 an",406.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/1617/1.jpg?8847,https://www.jumia.com.tn/smartphones//infinix-smart-7-66-4gb-up-to-7gb-64-gb-peacock-blue-garantie-1-an-716188.html
XIAOMI,"XIAOMI Redmi 10C - 6.71""- 4Go - 64GB- Vert- Garantie 1 an",649.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/3696/1.jpg?5806,https://www.jumia.com.tn/smartphones//xiaomi-redmi-10c-6.71-4go-64gb-vert-garantie-1-an-696360.html
XIAOMI,XIAOMI Redmi Note 11 - 6G - 128G - Gris - Garantie 1 an,839.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/7956/1.jpg?8311,https://www.jumia.com.tn/smartphones//xiaomi-redmi-note-11-6g-128g-gris-garantie-1-an-659706.html
Benco,"Benco AH9110 - Y11 3G/DS - 5"" - 1GB + 32 GB - PURLISH BLUEER",189.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/6937/1.jpg?9588,https://www.jumia.com.tn/smartphones//benco-ah9110-y11-3gds-5-1gb-32-gb-purlish-blueer-739664.html
Apple,"Apple iPhone 14 Pro - 6,1"" -  6G - 128 GB - Deep Purple   - Garantie 1AN",6490.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/3937/1.jpg?5968,https://www.jumia.com.tn/smartphones//apple-iphone-14-pro-61-6g-128-gb-deep-purple-garantie-1an-739328.html
